Name,Price,Bottle size
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER SOIREE BRUT ROSE METHODE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1425.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2442"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER VIJAY AMRITRAJ RESERVE COLLECTION RED</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1750.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-524"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">GROVER VIJAY AMRITRAJ RESERVE COLLECTION WHITE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>1750.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-514"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">J NOON INDIA I RED WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>4500.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2032"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">J NOON INDIA I WHITE WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3000.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2033"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">JCB NO 47 SPARKLING</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>3500.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1535"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">KADU CHENIN BLANC</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>625.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-380"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">MOSSO PEACH WINE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>450.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-2058"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">NOI SPRITZER CLASSICO</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>160.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-495"" data-toggle=""collapse"" type=""button""><span>250ML</span> <i class=""flaticon-download""></i></button>"
"<h4 class=""fw-500 m-0 text-dark ll-product-title"">POMONAS CHOCOLATE</h4>","<div class=""wbr-amount fs-16""><span class=""symbol fs-14"">₹</span>550.00</div>","<button class=""btn color-black p-0 fw-500 wbr-cmp-variation-view-toggle"" data-target=""#collaps-1865"" data-toggle=""collapse"" type=""button""><span>750ML</span> <i class=""flaticon-download""></i></button>"
